species,common_name,adult_body_mass_g
Anser caerulescens,Snow Goose,2630.75
Anthropoides paradiseus,Blue Crane,4341.75
Cebus capucinus,White-headed Capuchin,2655
Centrocercus minimus,Gunnison Grouse,1650
Cercopithecus mitis,Blue Monkey,6116.5
Chionomys nivalis,European Snow Vole,42.01
Chlorocebus aethiops,Grivet,5104.25
Ciconia ciconia,White Stork,3350
Erythrocebus patas,Patas Monkey,7660.5
Falco naumanni,Lesser Kestrel,152.5
Falco peregrinus,Peregrine Falcon,827.25
Gorilla beringei,Eastern Gorilla,139842
Macaca mulatta,Rhesus Monkey,6614
Notamacropus eugenii,Tammar Wallaby,5037.24
Notamacropus eugenii,Tammar Wallaby,5037.24
Notamacropus eugenii,Tammar Wallaby,5037.24
Marmota flaviventris,Yellow-bellied Marmot,2800
Pan troglodytes,Common Chimpanzee,44983.5
Papio cynocephalus,Yellow Baboon,17851.25
Propithecus verreauxi,Verreaux's Sifaka,3588.26
Pygosciles adeliae,Adélie penguin,4800
Rangifer tarandus caribou,Woodland caribou,100000
Strix occidentalis,Spotted Owl,609.5
Suricata suricatta,Meerkat,776
Turdus torquatus,Ring Ouzel,109
Xenosaurus grandis,Knob-scaled Lizard,23.59
Xenosaurus platyceps,Flathead Knob-scaled Lizard,19.6
Ovis aries,Soay sheep,24000
Orcinus orca,Killer whale,3500000
Callospermophilus lateralis,Golden-mantled Ground Squirrel,300
Umbonium costatum,Umbonium Costatum,2
