"species","mean_life_expect","life_time_La","mean_repo_rate","mean_repo_rate_stable_state","gen_time","M_rep_lif_exp","matrix_size","surv_95","surv_99","gini","mxlxsd","surv_sd","prop_la","min_max"
"Anser_caerulescens",5.61797752808989,2,0.349599283666667,0.278008787427415,6.7445260477755,5.61797752808989,5,17,37,0.680823587050306,0.0599209456675747,0.0208331982007946,0.62276442912,37
"Anthropoides_paradiseus",13.9366111000597,5.00000000000004,0.250286454545455,0.155832834092432,19.8949385644811,24.0700218818381,5,58,150,0.689710633197895,0.0266414289678552,0.0502857018929997,0.466933828958627,150
"Callospermophilus_lateralis",1.6753012722481,1,2.32395106140351,1.68594222870049,-Inf,1.6753012722481,6,6,7,0.629806009870215,0.162990621683238,0.0176704745661603,0.357069105966239,7
"Cebus_capucinus",21.4243266544877,7,0.0651670191707705,0.0726300119416069,29.3627028689581,27.1129188443837,8,76,185,0.699017122669748,0.0145307904919759,0.0260732824748958,0.583323612204686,185
"Centrocercus_minimus",1.65506194794953,3.00000000000004,0.4375,0.217650011680309,4.68730331434216,2.16561514195584,4,5,10,0.720793067132327,0.0121720970381031,0.0238026754280204,0.0597555915760417,10
"Cercopithecus_mitis",19.6419182959507,8.00000000000001,0.103366232030056,0.0841143999673725,21.4523012158538,17.6589765600908,9,55,120,0.716114245319249,0.026628287406841,0.0151998064100106,0.723769893487253,120
"Chionomys_nivalis",1.34968224833156,1,0.603934256280739,0.688328396271771,6.51789196096484,1.34968224833156,2,3,6,0.773601757855094,0.00752312025092597,0.018979986690089,0.23610829064218,6
"Chlorocebus_aethiops_2",4.42148760330578,2,0.631,0.381525935642087,5.69416118208337,6.61157024793388,2,17,41,0.704642285005065,0.0694692824889133,0.0336849809131891,0.39936817265625,41
"Ciconia_ciconia_3",3.4271645675629,2,1.66152585,0.740885815653233,4.79997939240987,5.98030108131644,2,14,35,0.690707267599683,0.144311638911332,0.0376337674779703,0.298431293129101,35
"Erythrocebus_patas",2.92378048780488,2,0.792222222222222,0.465372329961151,3.49914386424159,2.74390243902439,2,8,17,0.737346428549315,0.0980915398011387,0.0214378226787704,0.322175131742112,17
"Falco_naumanni",2.17148760330579,2,1.86,0.738867404223297,3.8253922548242,3.4435261707989,2,8,19,0.694106062085817,0.124898140090372,0.0304152259469719,0.1853224966656,19
"Falco_peregrinus_3",2.31407363160083,2,0.355831958828354,0.286636353086336,10.0623737725468,5.83783783783784,5,11,35,0.625562906630201,0.015675971470178,0.0477479994682622,0.144471620390732,35
"Gorilla_beringei",41.3602151476343,9.99999999999998,0.050972337037993,0.0518450602450624,38.8165862010603,42.8860879771189,11,127,294,0.710613328091815,0.0144953424464641,0.0174358107289577,0.824592018830472,294
"Macaca_mulatta_3",16.0428157945512,4,0.27265,0.189722673296286,13.1439426221504,16.6268070175439,5,50,114,0.710077088392322,0.0573355453721084,0.021300144352654,0.728246003101443,114
"Macropus_eugenii1",3.11764705882353,1,0.301666666666667,0.330929522997816,4.76361696187226,3.11764705882353,2,10,22,0.726348316696725,0.0442999574202064,0.0252302342380694,0.5212,22
"Macropus_eugenii2",2.90322580645161,1,0.156666666666667,0.214715009637957,4.87572854037435,2.90322580645161,2,9,20,0.729068516082972,0.0297233047453124,0.0248289658610768,0.549396,20
"Macropus_eugenii3",2.71844660194175,1,0.255,0.280249644198457,4.44352586547847,2.71844660194175,2,8,18,0.73341488517486,0.0341198097303815,0.0242830183621547,0.479318333333333,18
"Marmota_flaviventris",2.43282450243047,2,1.0829907077486,0.569061194007555,4.48612756217288,2.82265517992987,3,8,20,0.664089351116577,0.084278743807609,0.0305361690043847,0.209926106029616,20
"Orcinus_orca",17.4237682025381,8.90940721476688,0.117191,0.0609623695297153,28.1617314420042,31.9331759308713,5,64,135,0.640403942891274,0.00944588162389643,0.0264337704906624,0.46617087749515,135
"Ovis_aries",5.28660615848407,3,0.581822333333333,0.317991449489685,8.03584523391749,7.75193798449612,3,20,48,0.70117893403787,0.0594495704813006,0.0351921432861787,0.393071498894732,48
"Pan_troglodytes_subsp._schweinfurthii",20.6182026665542,16.0000000000001,0.0365309490397896,0.0322237604217375,37.6518837803332,18.5228517999899,17,58,128,0.718979522820584,0.00599405554347032,0.0156615009706124,0.481558054580009,128
