"Location","Site","Plot_ID","Quadrant","ID","X_cm","Y_cm","Year","LongestLeaf_cm","survives_t","flowering","Num_capsules","Stem_Herb","Invert_Herb","LeafSpots","survives_tplus1","longestLeaf_tminus1","longestLeaf_tplus1","age","seedling","index","Num_seeds","log_LL_t","log_LL_tplus1","log_LL_tminus1","SoilMoisture_m3m3","SoilTemp_winter_C","sd_soilTemp_winter","SoilTemp_grow_C","sd_soilTemp_grow","tMean_grow_C","sd_tMean_grow","tMean_winter_C","sd_tMean_winter","precipWaterYr_cm","SoilMoisture_m3m3_s","SoilTemp_winter_C_s","SoilTemp_grow_C_s","tMean_grow_C_s","precipWaterYr_cm_s","N_all_plot","N_all_plot_t","N_adults_plot_t","N_seedlings_plot_t","N_Site_t"
"FEWAFB","Crow_Creek","C4","Q1","1",88,11,2018,7.5,1,0,NA,0,0,0,1,NA,10.9,NA,0,1,NA,2.01490302054226,2.3887627892351,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","1",88,11,2019,10.9,1,0,NA,NA,0,0,0,7.5,NA,NA,0,2,NA,2.3887627892351,NA,2.01490302054226,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
"FEWAFB","Crow_Creek","C4","Q1","2",58,38,2018,10.5,1,0,NA,0,0,0,1,NA,18.4,NA,0,4,NA,2.35137525716348,2.91235066461494,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","2",58,38,2019,18.4,1,0,NA,NA,0,0,1,10.5,10.6,NA,0,5,NA,2.91235066461494,2.36085400111802,2.35137525716348,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
"FEWAFB","Crow_Creek","C4","Q1","2",58,38,2020,10.6,1,1,31.94435,0,1,0,NA,18.4,NA,NA,0,6,128,2.36085400111802,NA,2.91235066461494,0.11675,NA,NA,NA,NA,15.0916666666667,6.89216777702536,0.188,2.99789426097719,28.18,-0.966738004540558,NA,NA,0.598861560437391,-1.54782122296605,203,203,102,101,310
"FEWAFB","Crow_Creek","C4","Q1","3",85,46,2018,4.5,1,0,NA,0,0,0,1,NA,4.7,NA,0,7,NA,1.50407739677627,1.54756250871601,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","3",85,46,2019,4.7,1,0,NA,NA,0,0,1,4.5,5.3,NA,0,8,NA,1.54756250871601,1.66770682055808,1.50407739677627,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
"FEWAFB","Crow_Creek","C4","Q1","3",85,46,2020,5.3,1,0,NA,NA,1,0,NA,4.7,NA,NA,0,9,NA,1.66770682055808,NA,1.54756250871601,0.11675,NA,NA,NA,NA,15.0916666666667,6.89216777702536,0.188,2.99789426097719,28.18,-0.966738004540558,NA,NA,0.598861560437391,-1.54782122296605,203,203,102,101,310
"FEWAFB","Crow_Creek","C4","Q1","4",81,46,2018,13.6,1,0,NA,0,0,0,1,NA,6.7,NA,0,10,NA,2.61006979274201,1.90210752639692,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","4",81,46,2019,6.7,1,1,38.443375,0,0,0,0,13.6,NA,NA,0,11,154,1.90210752639692,NA,2.61006979274201,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
"FEWAFB","Crow_Creek","C4","Q1","5",96,69,2018,4.2,1,0,NA,0,0,0,1,NA,5.9,NA,0,13,NA,1.43508452528932,1.77495235091167,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","5",96,69,2019,5.9,1,0,NA,NA,0,0,1,4.2,4.7,NA,0,14,NA,1.77495235091167,1.54756250871601,1.43508452528932,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
"FEWAFB","Crow_Creek","C4","Q1","5",96,69,2020,4.7,1,0,NA,NA,1,0,NA,5.9,NA,NA,0,15,NA,1.54756250871601,NA,1.77495235091167,0.11675,NA,NA,NA,NA,15.0916666666667,6.89216777702536,0.188,2.99789426097719,28.18,-0.966738004540558,NA,NA,0.598861560437391,-1.54782122296605,203,203,102,101,310
"FEWAFB","Crow_Creek","C4","Q1","6",94,71,2018,3.9,1,0,NA,0,0,0,0,NA,NA,NA,0,16,NA,1.3609765531356,NA,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","7",87,85,2018,4.5,1,0,NA,0,0,0,1,NA,7.7,NA,0,19,NA,1.50407739677627,2.04122032885964,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","7",87,85,2019,7.7,1,0,NA,NA,0,0,1,4.5,9.6,NA,0,20,NA,2.04122032885964,2.26176309847379,1.50407739677627,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
"FEWAFB","Crow_Creek","C4","Q1","7",87,85,2020,9.6,1,0,NA,NA,1,0,NA,7.7,NA,NA,0,21,NA,2.26176309847379,NA,2.04122032885964,0.11675,NA,NA,NA,NA,15.0916666666667,6.89216777702536,0.188,2.99789426097719,28.18,-0.966738004540558,NA,NA,0.598861560437391,-1.54782122296605,203,203,102,101,310
"FEWAFB","Crow_Creek","C4","Q1","8",76,99,2018,14.1,1,1,308,1,0,0,0,NA,NA,NA,0,22,1232,2.64617479738412,NA,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","9",81,99,2018,22.7,1,0,NA,0,0,0,1,NA,5.4,NA,0,25,NA,3.12236492448736,1.68639895357023,NA,0.11675,NA,NA,NA,NA,15.2766666666667,5.54203091534743,-0.856,2.39117753418687,48.09,-0.966738004540558,NA,NA,1.07835512060601,1.13566624807019,176,176,81,95,330
"FEWAFB","Crow_Creek","C4","Q1","9",81,99,2019,5.4,1,1,113.432125,1,0,0,0,22.7,NA,NA,0,26,454,1.68639895357023,NA,3.12236492448736,0.11675,NA,NA,NA,NA,14.4616666666667,6.36831662738802,-1.254,1.60027497637125,43.87,-0.966738004540558,NA,NA,-1.0340084012179,0.566890902627053,203,203,130,73,312
